+--------------------------------------+------------------+---------+------+-----------+-------+-----------+
| ID                                   | Name             |     RAM | Disk | Ephemeral | VCPUs | Is Public |
| e5e8c97b-b150-41c8-9161-42c35b6a7a45 | c3-128           |  128000 |  400 |         0 |    64 | True      |
| e62acbd4-041b-419c-a8ef-e0aaf4ca8bf9 | b3-640           |  640000 |  400 |         0 |   160 | True      |
| e7b58d55-d69b-4f96-9f53-41b304874556 | b2-15-flex       |   15000 |   50 |         0 |     4 | True      |
| e7d3f45b-4923-4d70-8cfe-8b51fd72f900 | win-c3-256       |  256000 |  400 |         0 |   128 | True      |
| e7f8b3cc-4d7b-431b-85a0-1bb9c5d93e75 | win-c2-7-flex    |    7000 |   50 |         0 |     2 | True      |
| e81b46f8-1159-4e14-b0ba-cad655e6540b | b3-8             |    8000 |   50 |         0 |     2 | True      |
| e87b10e3-be1c-4a92-9d83-31b9d56581ea | win-c2-7         |    7000 |   50 |         0 |     2 | True      |
| e92cc5e2-e80f-46ce-ad5d-dc175135b468 | d2-4             |    4000 |   50 |         0 |     2 | True      |
| ea1d417e-de60-414b-a47d-2c92f55f60b5 | win-r3-1024      | 1024000 |  400 |         0 |   128 | True      |
| ec8abcce-de55-4246-acb7-1b8bf0a18489 | win-r3-32-flex   |   32000 |   50 |         0 |     4 | True      |
| ed6162e4-7a57-48b6-a10f-43d39e80d488 | win-b3-512-flex  |  512000 |   50 |         0 |   128 | True      |
| ed641c79-1da4-45d6-bf3c-94c0c7c7908b | b2-30            |   30000 |  200 |         0 |     8 | True      |
| f0161aee-0075-424b-a74c-c81a7a4b0177 | b3-64            |   64000 |  400 |         0 |    16 | True      |
| f1c6698f-f99e-4e37-85a2-fb680c78026c | win-c3-32-flex   |   32000 |   50 |         0 |    16 | True      |
| f317fdb8-a028-48a0-97f2-9de4774b1971 | win-c3-320-flex  |  320000 |   50 |         0 |   160 | True      |
| f3c5dabc-cca3-4595-ab36-88b35528645f | win-i1-45        |   45000 |   50 |         0 |     8 | True      |
| f641d4a3-fd1c-4876-a2c2-556c4dd3eb22 | win-r3-64-flex   |   64000 |   50 |         0 |     8 | True      |
| f741d76e-c3df-4a3e-ac3b-632145a378cd | win-r3-256-flex  |  256000 |   50 |         0 |    32 | True      |
| f78e00b6-a74e-4dc4-99f7-6e57849668e5 | r2-30            |   30000 |   50 |         0 |     2 | True      |
| f835aa84-bc59-4e8b-80a8-d4b211def810 | t2-90            |   90000 |  800 |         0 |    30 | True      |
| f8f771c4-604b-441b-8e90-5904ef82b858 | b3-8-flex        |    8000 |   50 |         0 |     2 | True      |
| f976cfa1-de7c-4385-b10f-58cf780ad6a1 | b2-60-flex       |   60000 |   50 |         0 |    16 | True      |
| fa860181-a6ad-4b61-bb78-3f1629c2cf53 | win-b3-32        |   32000 |  200 |         0 |     8 | True      |
| fbe1354c-35f0-4108-a760-ac6025414319 | win-b2-30        |   30000 |  200 |         0 |     8 | True      |
| fd259d23-bc3e-4b73-956c-e7ed8e5f287e | b3-32-flex       |   32000 |   50 |         0 |     8 | True      |
+--------------------------------------+------------------+---------+------+-----------+-------+-----------+
